Contrast,Block,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges,Feature
Block,-,3,6,True,True,-1.3081926305127898,65.0,two-sided,0.19541534029665725,1.0,bonf,0.304,-0.20573824764433954,max_pupil_dilation_rate
Block,-,3,7,True,True,-1.1604905523528983,65.0,two-sided,0.2500937171213957,1.0,bonf,0.256,-0.17485168627893616,max_pupil_dilation_rate
Block,-,3,8,True,True,1.5483421269124256,65.0,two-sided,0.12639541763668563,1.0,bonf,0.419,0.2097389138826697,max_pupil_dilation_rate
Block,-,4,5,True,True,0.9537118462703902,65.0,two-sided,0.34376285958782926,1.0,bonf,0.208,0.11560992298383423,max_pupil_dilation_rate
Block,-,4,6,True,True,-0.965335115977264,65.0,two-sided,0.33795491886093654,1.0,bonf,0.211,-0.1276807092334152,max_pupil_dilation_rate
Block,-,4,7,True,True,-0.6618145219113768,65.0,two-sided,0.510429597542969,1.0,bonf,0.167,-0.08946779639648658,max_pupil_dilation_rate
Block,-,4,8,True,True,1.6782587293678533,65.0,two-sided,0.09809873396409576,1.0,bonf,0.509,0.2621586331990458,max_pupil_dilation_rate
Block,-,5,6,True,True,-1.7975512490830496,65.0,two-sided,0.07689301698881673,1.0,bonf,0.616,-0.2474624950811607,max_pupil_dilation_rate
Block,-,5,7,True,True,-1.3561544970853308,65.0,two-sided,0.17974247030007404,1.0,bonf,0.323,-0.22175534792073792,max_pupil_dilation_rate
Block,-,5,8,True,True,0.9323302039229883,65.0,two-sided,0.35461616162109066,1.0,bonf,0.205,0.15285970177929037,max_pupil_dilation_rate
Block,-,6,7,True,True,0.36123412832984264,65.0,two-sided,0.7190959363599696,1.0,bonf,0.144,0.05009515622393821,max_pupil_dilation_rate
Block,-,6,8,True,True,2.7505434940118305,65.0,two-sided,0.007698469712889341,0.21555715196090153,bonf,4.237,0.3943274103780017,max_pupil_dilation_rate
Block,-,7,8,True,True,2.69181798771991,65.0,two-sided,0.00902662305938586,0.2527454456628041,bonf,3.69,0.3879110139167957,max_pupil_dilation_rate
